filename,duration,mean_pitch,std_pitch,voiced_ratio,mean_intensity,std_intensity,mean_f1,std_f1,mean_f2,std_f2,mean_f3,std_f3,mean_tilt,std_tilt,filepath,type
US_Baby 5_130.5774456466338,2.7943125,5.402473818932003,0.26487479304222894,0.6920289855072463,76.56979118920086,7.874118384240327,562.7675419332597,96.22510642880998,1429.6683175230883,388.72464283548464,2441.985112460292,566.0810467224987,237.40000006902497,55.626307704305844,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_Baby 5_130.5774456466338.wav,ADS
"CA_cup, Baby 2077_447.12387234854714",5.1691875,4.966891464250809,0.39396091550434087,0.40545808966861596,56.31896485821821,4.508278185595522,600.4730647594298,146.81167701149207,1720.6055209941658,448.5202885698582,2710.1668721445544,454.85632380121467,180.48000579642448,71.41931071030176,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_cup, Baby 2077_447.12387234854714.wav",ADS
"CA_flag, Baby 2874_412.1850841095442",4.1679375,5.346110091796355,0.23788349263730363,0.585956416464891,52.757873036472034,5.92071147132069,575.0682396264629,109.9779381638502,1930.7617997892005,354.4167452467902,2611.2265503195563,259.91144729558096,175.56070138935547,61.49955656931625,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_flag, Baby 2874_412.1850841095442.wav",ADS
US_Baby 5_157.4031068572158,3.9858125,5.192092316809306,0.17748525723807873,0.5443037974683544,72.3017136192146,7.214961073631175,630.3283267791526,128.7103049017457,1558.9668801322205,282.01198184995394,2583.6792502317217,548.177310335323,229.42940328019594,59.83090591772691,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_Baby 5_157.4031068572158.wav,ADS
CA_Baby 4784_340.76037359632795,6.6395625,5.187583502570027,0.03866238334981816,0.39545454545454545,53.95799200595624,4.759927291721568,574.5458516391786,124.39137819571593,1597.9196694938285,437.6145400155116,2617.0742705240973,423.03316914735734,166.09151638138025,81.76530107666778,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 4784_340.76037359632795.wav,ADS
CA_Baby 3314 at 90.785,6.7633125,4.901695939998411,0.30658226828856955,0.3328380386329866,52.90751193278857,5.985804288581048,567.3321637946793,153.95398834816214,1525.991226557168,327.0288107689796,2580.5517077956456,397.5023964781696,141.73184888353404,78.9378782460117,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 3314 at 90.785.wav,ADS
"CA_ball, Baby 1266_1081.994965918577",7.3648125,5.197479486638542,0.2106452333077926,0.4120054570259209,58.39072886417111,7.147537324996298,555.8528328927673,116.15327289519925,1535.6397203591885,381.79076062419284,2677.4071040435488,311.10238964476713,147.39292364378542,83.91252548092483,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_ball, Baby 1266_1081.994965918577.wav",ADS
"CA_cup, Baby 3214_548.2954351161833",4.82075,5.148885809561024,0.36258227451921937,0.4112734864300626,52.83594039910902,5.692993397544937,641.6776128425929,234.95920679840845,1633.3340058481788,363.30360761333804,2683.5030628393088,354.03516912718965,188.18672463448527,89.8900625484016,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_cup, Baby 3214_548.2954351161833.wav",ADS
US_Baby 5_65.53872765319125,4.3358125,5.210271586312501,0.24127379174418986,0.6976744186046512,72.74101630609134,7.009976764039127,503.69363837529767,118.53980113675918,1627.556051383623,466.0364059522109,2640.4989317684995,473.7508085078659,222.16431312338784,91.264004565268,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_Baby 5_65.53872765319125.wav,ADS
"US_cup, Baby 4_152.04239497413855",1.64325,5.258402616206088,0.16622824158639934,0.4409937888198758,70.61586865441372,7.760110279333998,697.3603271939891,205.32501586199214,1418.9601394047672,203.32934129373393,2665.7310500897825,226.8712751242567,179.30457880116523,77.22761899625603,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_cup, Baby 4_152.04239497413855.wav",ADS
"CA_ball, Baby 2077_12.582301715046901",4.0725625,5.257133407540489,0.552032401423345,0.3787128712871287,54.2413624841115,6.435821591166588,575.6099487251682,102.45198991219084,1592.9141181166524,509.48778823635564,2715.1025761295236,308.9285080015219,172.17809207956844,68.59986380791177,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_ball, Baby 2077_12.582301715046901.wav",ADS
CA_Baby 4547 at 646.298,2.4513125,5.173705173447979,0.17249140135696814,0.5,56.41059621673141,7.002932432306567,658.7320593676421,174.52281505780672,1433.260978692871,376.2082165518618,2666.9500105407524,358.0150550895218,150.3656379112686,80.48883760250389,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 4547 at 646.298.wav,ADS
CA_Baby 1810_341.78370202005016,4.922375,5.073899589482671,0.3461435047872537,0.4274028629856851,51.99817299342006,6.068171093467887,582.7672924599684,131.32587388757676,1755.1703247564192,336.9474124964525,2868.815116071259,384.38350014518255,176.73128240938,71.85608881908155,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 1810_341.78370202005016.wav,ADS
CA_Baby 4784_282.3260484905622,4.426625,4.9821347780779,0.3651176639192026,0.3234624145785877,47.88711886239304,6.229738193356845,575.8043727434152,150.86038130997252,1738.921419419118,472.6768108758551,2767.7704487997626,305.76093544868945,140.124632321423,64.25009221849804,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 4784_282.3260484905622.wav,ADS
"CA_cup, Baby 2077_442.0700898098337",3.6435,4.9351787105829885,0.3525035801758368,0.3656509695290859,55.153937500366915,3.644779036358141,635.655752129943,166.68169124756756,1948.8709463654432,535.0697206603174,2681.1392279455576,443.70561620366084,166.3308510776655,59.36426878886819,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_cup, Baby 2077_442.0700898098337.wav",ADS
"CA_globe, Baby 1266_1054.4929789006917",9.53575,5.2248712601084994,0.18385195939342677,0.5852631578947368,59.02686435980281,6.036397936979264,569.0815953194706,95.624655649199,1459.5172013910064,406.43122895681,2671.4838150894693,302.48439060632137,161.14788955721798,85.95263693141497,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_globe, Baby 1266_1054.4929789006917.wav",ADS
"CA_ball, Baby 3314 at 104.602",4.95525,4.726716870501835,0.3964153976319518,0.22967479674796748,52.39102804548823,5.27303943121444,484.338207941902,132.40321676870263,1776.401380642255,407.3686999684566,2571.5695552015,352.81514547306364,120.61943218959492,86.14863289364419,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_ball, Baby 3314 at 104.602.wav",ADS
CA_Baby 3912_233.49077753067155,1.68325,5.29307992512558,0.12423058868162269,0.30303030303030304,57.603667822139805,7.835030885152226,397.22160588239416,57.57458442403508,1896.8951812821658,235.8627585707742,2615.0485909403824,201.8703062409041,112.45413301775707,64.83223884190458,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 3912_233.49077753067155.wav,ADS
CA_Baby 1810_88.86870410178693,5.3985625,5.077822320771087,0.3108068802889163,0.4197761194029851,49.138226920729466,4.224935751053393,583.5111160211613,149.3379876280774,1726.8567380858817,346.05217438355953,3004.814844170379,332.25020196498537,166.58582929145763,72.3079970098166,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 1810_88.86870410178693.wav,ADS
"CA_ball, Baby 2077_30.01383908287438",3.5958125,5.196327597626694,0.3265513284649102,0.40730337078651685,60.398870032012574,5.485766300839626,618.8912456432498,140.54455875122463,1669.2599523430647,408.38929165846747,2903.0257898823315,199.74797436239652,153.8823107594732,80.28216511694977,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_ball, Baby 2077_30.01383908287438.wav",ADS
CA_Baby 2874_492.0910270695727,5.9391875,5.28301964783935,0.26156715076957254,0.6033898305084746,59.15087571591733,6.378196103002408,648.7782718454056,157.69198461661853,1553.9395536898735,443.2610014933842,2620.72386358694,346.9229419580934,196.30534270495352,71.80370078790439,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 2874_492.0910270695727.wav,ADS
CA_Baby 2077_542.8901545374738,3.886625,5.071924804572033,0.2523961844654332,0.4077922077922078,55.16390617831907,5.373156471600951,558.1986361687186,94.57195785232429,1580.6728841471313,520.3414021859771,2544.7771589316208,438.2745603864936,177.25808339315395,83.33818594775798,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 2077_542.8901545374738.wav,ADS
"CA_cup, Baby 3214_540.8525468070718",2.791875,5.0274479057604085,0.07925794740041313,0.17028985507246377,53.00186520489117,6.54207457158429,640.634261722933,145.80471517378646,1732.0636266858853,196.09075577033596,2656.9954493947366,358.3429055186273,131.71243030335174,84.62208972264062,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_cup, Baby 3214_540.8525468070718.wav",ADS
CA_Baby 3314 at 210.265,4.242625,4.898214177120846,0.06290405458103782,0.2209026128266033,47.76002782573024,4.395276779326306,648.875459319191,167.51792429458547,1531.1689986719505,366.38432642541744,2792.219010439506,290.4821774104886,139.22536127966245,69.18875149075984,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 3314 at 210.265.wav,ADS
"US_flag, Baby 4_71.73592085823985",7.0925625,5.088236427539002,0.21995070944706402,0.7351274787535411,68.29489565650108,7.040435839604649,582.0497268381578,109.76673477305995,1707.0955734111612,342.7742414336365,2582.1400110505874,313.59462017608655,205.19491126076423,102.592828174855,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_flag, Baby 4_71.73592085823985.wav",ADS
CA_Baby 1810_212.33847556642402,4.894375,5.136119385563713,0.3711866557810301,0.49176954732510286,52.61894675595356,5.333004706687719,620.5699378144009,192.37533205508547,1734.572424927097,377.42106880461665,2989.46090217397,337.16291053058256,179.68613472946402,84.79502498332559,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 1810_212.33847556642402.wav,ADS
