filename,duration,mean_pitch,std_pitch,voiced_ratio,mean_intensity,std_intensity,mean_f1,std_f1,mean_f2,std_f2,mean_f3,std_f3,mean_tilt,std_tilt,type,quality,quality_snr
e20130314_125307_008344_1_19275136_19276896,1.76,5.69396333053815,0.2478440395013173,0.7283236994219653,60.210340002665184,7.003203437182071,493.2954713015319,143.68501420336682,1732.476632072665,339.1866773286457,2811.3698934065865,213.89110532124667,144.31982477044116,38.12781413945551,IDS,5,1
e20130314_125307_008344_1_19326256_19328480,2.224,5.317833000034987,0.2473402367763948,0.7077625570776256,57.34976718228542,5.236065839959835,555.5216479598532,100.77084317902796,1627.8802194250936,343.5345363146077,2703.986214547732,390.7856341675928,165.6754324517635,47.33612810829016,IDS,5,1
e20130314_125307_008344_1_19357936_19360288,2.352,5.694660734560185,0.3508122826504537,0.7327586206896551,58.59393964064123,7.1839448642086605,545.0535592657286,143.2905466227661,1792.4369593851904,314.3956538770714,2903.313965812368,408.8113014333391,142.411692678041,59.029825704313424,IDS,5,0
e20130314_125307_008344_1_19396768_19398320,1.552,5.655737351488017,0.2495177396132651,0.8618421052631579,61.55383152449439,5.976975841682086,568.146722085012,146.13929503582057,1739.574583410066,303.2465655872417,2781.650639202392,370.8819929200196,144.8708218033546,36.21974165039595,IDS,0,1
e20130314_125307_008344_1_19402832_19405360,2.528,5.7693237310991945,0.227213312517862,0.8554216867469879,63.08377434755796,6.308042302236144,529.1331612362634,138.52095704499442,1730.4746932438236,495.07472918082175,2968.477743050312,156.93612336860326,119.82867381921972,49.87330131573363,IDS,1,1
e20130314_125307_008344_1_19411984_19416048,4.064,5.7553460971962656,0.169526703219611,0.607940446650124,71.13532050465399,6.101996757159769,734.0596382503381,163.64525262747108,1664.87055888612,348.83783754368534,2726.618497916442,457.72388789980647,107.83810897121518,44.95270402724756,IDS,0,1
e20130311_153356_008109_2_11992404_11993972,1.568,5.46698890355866,0.408359948176812,0.4901960784313725,61.495129244380486,9.545107489860696,486.6369234986324,108.7716571523941,2039.920937488985,278.6785543753251,3167.84175421852,242.90486153908665,62.6821522365865,51.006350940817136,IDS,0,1
e20130314_125532_008066_1_10200040_10203192,3.152,5.362881775832275,0.2590837678109575,0.483974358974359,69.97259338095031,4.781563669721557,662.3388832415308,140.55729149654584,1452.8990197591631,418.8954578321957,3111.95997086068,334.4846880062286,92.61414487111982,49.6625725838892,IDS,5,0
e20130314_125307_008344_1_19460640_19461424,0.784,5.896087000798348,0.1618520587055249,0.6133333333333333,66.22641938904083,3.695896786803016,618.3276051336844,74.92046910264848,1292.7964701455846,387.7586341279831,2727.0050223141543,269.5431725589874,158.67780177415014,22.24239545675733,IDS,0,1
e20130311_153356_008109_2_11997172_11998132,0.96,4.955940290130058,0.4162192567383294,0.8043478260869565,55.936777246775904,5.706683017024099,480.2586256489078,191.2070282693856,1947.4334708676904,448.294944761327,3161.6032538814206,325.1364264231377,89.80357550228013,63.66845894763141,IDS,0,1
e20120713_153050_008015_1_1680080_1681984,1.904,5.278751387134829,0.5761224117632132,0.5347593582887701,59.85255441358594,4.582029744734756,471.31902788306815,69.84066999472087,1791.2082852064448,202.72113414842732,2869.9983059913657,200.82913384096176,87.66612509898121,44.16836843723764,IDS,0,1
e20130311_153356_008109_2_12056275_12059035,2.76,5.459658896980187,0.3540597816807328,0.5274725274725275,71.12870673074697,6.827387096925083,659.2995716863514,241.9027816319495,1939.3476110411807,437.858870126716,3016.593559852935,390.3951903717193,43.4522716519855,79.20045641044192,IDS,0,1
e20120628_200523_008109_1_20982992_20985328,2.336,5.736999764632927,0.2748436617143746,0.9,77.78986720565136,6.44468522417424,539.1250798064416,206.01168486504045,1622.734350532492,296.32928151513147,2649.6243347061823,288.311018525461,166.25364541298907,44.46332193665329,IDS,0,1
e20130311_153356_008109_2_12059707_12061883,2.176,5.49336031309314,0.1818922433697216,0.3411214953271028,67.93608784740748,6.420069161740992,393.3910804834081,165.00954652595397,2029.241271058776,334.319713708244,2954.5523540024874,324.21377829217573,66.40252991940233,59.071228350210106,IDS,0,1
