filename,score,model,lang,type,quality,quality_snr,corpus
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2138480544090271,100,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.3002451062202453,1600,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2267156988382339,200,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.3272058963775635,3200,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2708333432674408,400,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.1856617480516433,50,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.241421565413475,800,English,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.1973039358854293,50,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2040441185235977,100,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.250612735748291,200,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2352941185235977,400,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2549019455909729,800,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.2892156541347503,1600,French,IDS,0,1,English
ced7d627c046a2240a47a26ac9a0f1239968e901af8a72d35a2a39d63d82a6a6,0.281862735748291,3200,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.222491905093193,100,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.3025889694690704,1600,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.256472498178482,200,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.3074433803558349,3200,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2661812007427215,400,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.21197409927845,50,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2855987250804901,800,English,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2443365454673767,50,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2200647145509719,100,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2330096960067749,200,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2532362639904022,400,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.2386731505393982,800,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.3284789621829986,1600,French,IDS,0,1,English
709fed06bae481b4414f3192a8e056c9bddc1b6772399eece78f4ffa8c29f17a,0.3090614974498749,3200,French,IDS,0,1,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.1779279559850692,100,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2556305825710296,1600,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.1824324280023574,200,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2837837636470794,3200,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.208333358168602,400,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.1959459632635116,50,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2038288563489914,800,English,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2004504352807998,50,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.209459438920021,100,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2319819927215576,200,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2060810923576355,400,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2274774760007858,800,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2849099338054657,1600,French,IDS,5,0,English
8101281f543fb5f0d1b354cd6bb7e056ef34d6a4bf0210d57543cff0df0f1f04,0.2849098742008209,3200,French,IDS,5,0,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2678571045398712,100,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2738095223903656,1600,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2440475821495056,200,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.3273809254169464,3200,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.3035714328289032,400,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.1726190447807312,50,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.226190447807312,800,English,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.1964285522699356,50,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2261904627084732,100,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2142856866121292,200,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.178571417927742,400,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.1904761791229248,800,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2261904627084732,1600,French,IDS,5,1,English
dacd74057b5b6cac44ba5bb84520689aecde9ad208d7c05348d58666c8d11231,0.2500000298023224,3200,French,IDS,5,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2077294588088989,100,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2536231577396393,1600,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2161835581064224,200,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2512077093124389,3200,English,IDS,0,1,English
